,Unnamed: 0,rep,mut,api,model,tech,killed
35,35,1,props_3buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
36,36,1,props_3buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
37,37,1,props_3buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
38,38,1,props_3buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
39,39,1,props_3buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
40,40,1,props_4buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
41,41,1,props_4buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
42,42,1,props_4buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
43,43,1,props_4buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
44,44,1,props_4buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
46,46,1,props_5buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
48,48,1,props_5buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
50,50,1,props_1buggy_3.py,statistics.mean,gpt-4-final,pbt,1
51,51,1,props_1buggy_2.py,statistics.mean,gpt-4-final,pbt,1
52,52,1,props_1buggy_5.py,statistics.mean,gpt-4-final,pbt,1
53,53,1,props_1buggy_1.py,statistics.mean,gpt-4-final,pbt,1
54,54,1,props_1buggy_4.py,statistics.mean,gpt-4-final,pbt,1
55,55,1,props_2buggy_3.py,statistics.mean,gpt-4-final,pbt,1
56,56,1,props_2buggy_5.py,statistics.mean,gpt-4-final,pbt,1
57,57,1,props_2buggy_4.py,statistics.mean,gpt-4-final,pbt,1
58,58,1,props_2buggy_1.py,statistics.mean,gpt-4-final,pbt,1
59,59,1,props_2buggy_2.py,statistics.mean,gpt-4-final,pbt,1
60,60,1,props_3buggy_2.py,statistics.mean,gpt-4-final,pbt,1
61,61,1,props_3buggy_3.py,statistics.mean,gpt-4-final,pbt,1
62,62,1,props_3buggy_5.py,statistics.mean,gpt-4-final,pbt,1
63,63,1,props_3buggy_4.py,statistics.mean,gpt-4-final,pbt,1
64,64,1,props_3buggy_1.py,statistics.mean,gpt-4-final,pbt,1
65,65,1,props_4buggy_5.py,statistics.mean,gpt-4-final,pbt,1
66,66,1,props_4buggy_4.py,statistics.mean,gpt-4-final,pbt,1
67,67,1,props_4buggy_2.py,statistics.mean,gpt-4-final,pbt,1
68,68,1,props_4buggy_1.py,statistics.mean,gpt-4-final,pbt,1
69,69,1,props_4buggy_3.py,statistics.mean,gpt-4-final,pbt,1
70,70,1,props_5buggy_1.py,statistics.mean,gpt-4-final,pbt,1
71,71,1,props_5buggy_4.py,statistics.mean,gpt-4-final,pbt,1
72,72,1,props_5buggy_5.py,statistics.mean,gpt-4-final,pbt,1
73,73,1,props_5buggy_3.py,statistics.mean,gpt-4-final,pbt,1
74,74,1,props_5buggy_2.py,statistics.mean,gpt-4-final,pbt,1
93,93,1,props_4buggy_2.py,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,0
94,94,1,props_4buggy_3.py,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,0
96,96,1,props_5buggy_2.py,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,1
98,98,1,props_5buggy_5.py,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,0
99,99,1,props_5buggy_4.py,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,0
100,100,1,props_1buggy_4.py,cryptography.fernet.MultiFernet.rotate,gpt-4-final,pbt_and_props,1
104,104,1,props_1buggy_3.py,cryptography.fernet.MultiFernet.rotate,gpt-4-final,pbt_and_props,0
106,106,1,props_1buggy_3.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
107,107,1,props_1buggy_2.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
108,108,1,props_1buggy_4.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
109,109,1,props_1buggy_5.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
112,112,1,props_2buggy_1.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
113,113,1,props_2buggy_5.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
114,114,1,props_2buggy_3.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
115,115,1,props_3buggy_2.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
116,116,1,props_3buggy_4.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
117,117,1,props_3buggy_5.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
118,118,1,props_3buggy_3.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
119,119,1,props_3buggy_1.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
121,121,1,props_4buggy_1.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
122,122,1,props_4buggy_4.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
123,123,1,props_4buggy_5.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
124,124,1,props_4buggy_3.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
129,129,1,props_5buggy_2.py,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,1
130,130,1,props_1buggy_3.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
132,132,1,props_1buggy_2.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
133,133,1,props_1buggy_4.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
134,134,1,props_1buggy_5.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
137,137,1,props_2buggy_1.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
138,138,1,props_2buggy_3.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
139,139,1,props_2buggy_5.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
140,140,1,props_3buggy_2.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
141,141,1,props_3buggy_5.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
142,142,1,props_3buggy_4.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
143,143,1,props_3buggy_1.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
144,144,1,props_3buggy_3.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
146,146,1,props_4buggy_4.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
147,147,1,props_4buggy_3.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
148,148,1,props_4buggy_5.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
149,149,1,props_4buggy_1.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
154,154,1,props_5buggy_2.py,datetime.datetime.fromordinal,gpt-4-final,pbt_and_props,1
155,155,1,props_1buggy_1.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
156,156,1,props_1buggy_2.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
157,157,1,props_1buggy_5.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
158,158,1,props_1buggy_4.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
159,159,1,props_1buggy_3.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
160,160,1,props_2buggy_2.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
161,161,1,props_2buggy_4.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
162,162,1,props_2buggy_3.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
163,163,1,props_2buggy_5.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
164,164,1,props_2buggy_1.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
165,165,1,props_3buggy_1.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
166,166,1,props_3buggy_2.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
167,167,1,props_3buggy_5.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
168,168,1,props_3buggy_3.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
169,169,1,props_3buggy_4.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
170,170,1,props_4buggy_1.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
171,171,1,props_4buggy_4.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
172,172,1,props_4buggy_2.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
173,173,1,props_4buggy_5.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
174,174,1,props_4buggy_3.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
175,175,1,props_5buggy_1.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
176,176,1,props_5buggy_4.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
178,178,1,props_5buggy_3.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
179,179,1,props_5buggy_5.py,datetime.timedelta.total_seconds,claude-3-opus-20240229,pbt_and_props,1
180,180,1,props_1buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
181,181,1,props_1buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
182,182,1,props_1buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
183,183,1,props_1buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
184,184,1,props_1buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,0
185,185,1,props_2buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
186,186,1,props_2buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
187,187,1,props_2buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
188,188,1,props_2buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
189,189,1,props_2buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
190,190,1,props_3buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
191,191,1,props_3buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
192,192,1,props_3buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
193,193,1,props_3buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
195,195,1,props_4buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
196,196,1,props_4buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
197,197,1,props_4buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
198,198,1,props_4buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
199,199,1,props_4buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
200,200,1,props_5buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
202,202,1,props_5buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
203,203,1,props_5buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
204,204,1,props_5buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt_and_props,1
205,205,1,props_1buggy_1.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
206,206,1,props_1buggy_3.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
207,207,1,props_1buggy_2.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
208,208,1,props_1buggy_5.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
209,209,1,props_1buggy_4.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
210,210,1,props_4buggy_5.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
211,211,1,props_4buggy_4.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
212,212,1,props_4buggy_1.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
213,213,1,props_4buggy_3.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
214,214,1,props_4buggy_2.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
215,215,1,props_5buggy_1.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
216,216,1,props_5buggy_2.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
217,217,1,props_5buggy_3.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
218,218,1,props_5buggy_4.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
219,219,1,props_5buggy_5.py,dateutil.parser.isoparse,gpt-4-final,pbt_and_props,0
221,221,1,props_1buggy_4.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
222,222,1,props_1buggy_5.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
223,223,1,props_1buggy_3.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,0
225,225,1,props_2buggy_5.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
226,226,1,props_2buggy_1.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
227,227,1,props_2buggy_3.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
228,228,1,props_2buggy_2.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
229,229,1,props_2buggy_4.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
230,230,1,props_3buggy_2.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
231,231,1,props_3buggy_3.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
232,232,1,props_3buggy_1.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
233,233,1,props_3buggy_4.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
234,234,1,props_3buggy_5.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,0
235,235,1,props_4buggy_1.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
236,236,1,props_4buggy_4.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,0
237,237,1,props_4buggy_2.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
238,238,1,props_4buggy_3.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,1
244,244,1,props_5buggy_3.py,decimal.Decimal.from_float,gpt-4-final,pbt_and_props,0
245,245,1,props_1buggy_2.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
246,246,1,props_1buggy_1.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
247,247,1,props_1buggy_4.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
248,248,1,props_1buggy_5.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
249,249,1,props_1buggy_3.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
250,250,1,props_2buggy_1.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
251,251,1,props_2buggy_4.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
252,252,1,props_2buggy_3.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
253,253,1,props_2buggy_5.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
254,254,1,props_2buggy_2.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
255,255,1,props_3buggy_2.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
256,256,1,props_3buggy_4.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
257,257,1,props_3buggy_5.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
258,258,1,props_3buggy_1.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
259,259,1,props_3buggy_3.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
260,260,1,props_4buggy_4.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
261,261,1,props_4buggy_1.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
262,262,1,props_4buggy_3.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
263,263,1,props_4buggy_5.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
264,264,1,props_4buggy_2.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
265,265,1,props_5buggy_3.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
266,266,1,props_5buggy_1.py,html.unescape,claude-3-opus-20240229,pbt_and_props,1
267,267,1,props_5buggy_4.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
268,268,1,props_5buggy_2.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
269,269,1,props_5buggy_5.py,html.unescape,claude-3-opus-20240229,pbt_and_props,0
271,271,1,props_1buggy_1.py,zlib.adler32,gpt-4-final,pbt_and_props,1
272,272,1,props_1buggy_5.py,zlib.adler32,gpt-4-final,pbt_and_props,1
273,273,1,props_1buggy_3.py,zlib.adler32,gpt-4-final,pbt_and_props,0
274,274,1,props_1buggy_4.py,zlib.adler32,gpt-4-final,pbt_and_props,0
276,276,1,props_2buggy_4.py,zlib.adler32,gpt-4-final,pbt_and_props,1
277,277,1,props_2buggy_1.py,zlib.adler32,gpt-4-final,pbt_and_props,1
278,278,1,props_2buggy_2.py,zlib.adler32,gpt-4-final,pbt_and_props,1
279,279,1,props_2buggy_5.py,zlib.adler32,gpt-4-final,pbt_and_props,0
280,280,1,props_3buggy_1.py,zlib.adler32,gpt-4-final,pbt_and_props,1
281,281,1,props_3buggy_4.py,zlib.adler32,gpt-4-final,pbt_and_props,0
282,282,1,props_3buggy_3.py,zlib.adler32,gpt-4-final,pbt_and_props,0
283,283,1,props_3buggy_2.py,zlib.adler32,gpt-4-final,pbt_and_props,0
284,284,1,props_3buggy_5.py,zlib.adler32,gpt-4-final,pbt_and_props,0
285,285,1,props_4buggy_3.py,zlib.adler32,gpt-4-final,pbt_and_props,1
286,286,1,props_4buggy_4.py,zlib.adler32,gpt-4-final,pbt_and_props,1
287,287,1,props_4buggy_2.py,zlib.adler32,gpt-4-final,pbt_and_props,0
288,288,1,props_4buggy_1.py,zlib.adler32,gpt-4-final,pbt_and_props,0
289,289,1,props_4buggy_5.py,zlib.adler32,gpt-4-final,pbt_and_props,0
291,291,1,props_5buggy_4.py,zlib.adler32,gpt-4-final,pbt_and_props,1
292,292,1,props_5buggy_2.py,zlib.adler32,gpt-4-final,pbt_and_props,1
293,293,1,props_5buggy_1.py,zlib.adler32,gpt-4-final,pbt_and_props,1
294,294,1,props_5buggy_5.py,zlib.adler32,gpt-4-final,pbt_and_props,0
295,295,2,props_1buggy_3.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
296,296,2,props_1buggy_2.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
297,297,2,props_1buggy_5.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
298,298,2,props_1buggy_1.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
299,299,2,props_1buggy_4.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
315,315,2,props_5buggy_4.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
316,316,2,props_5buggy_5.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
317,317,2,props_5buggy_2.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
318,318,2,props_5buggy_3.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
319,319,2,props_5buggy_1.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
320,320,2,props_1buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
321,321,2,props_1buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
322,322,2,props_1buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
323,323,2,props_1buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
324,324,2,props_1buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
325,325,2,props_2buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
326,326,2,props_2buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
329,329,2,props_2buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,0
330,330,2,props_3buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
331,331,2,props_3buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
332,332,2,props_3buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
333,333,2,props_3buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
334,334,2,props_3buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
335,335,2,props_4buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
336,336,2,props_4buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
337,337,2,props_4buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
338,338,2,props_4buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
339,339,2,props_4buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
344,344,2,props_5buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,0
345,345,2,props_1buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
346,346,2,props_1buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
347,347,2,props_1buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
348,348,2,props_1buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
349,349,2,props_1buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
350,350,2,props_2buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
351,351,2,props_2buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
352,352,2,props_2buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
353,353,2,props_2buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
354,354,2,props_2buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
355,355,2,props_3buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
356,356,2,props_3buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
357,357,2,props_3buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
358,358,2,props_3buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
359,359,2,props_3buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
360,360,2,props_4buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
361,361,2,props_4buggy_2.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
362,362,2,props_4buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
363,363,2,props_4buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
364,364,2,props_4buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
365,365,2,props_5buggy_4.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
366,366,2,props_5buggy_5.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
367,367,2,props_5buggy_1.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
368,368,2,props_5buggy_3.py,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,pbt,1
370,370,2,props_1buggy_1.py,dateutil.parser.isoparse,gemini-1.5-pro-latest-final,pbt,0
371,371,2,props_1buggy_5.py,dateutil.parser.isoparse,gemini-1.5-pro-latest-final,pbt,0
